acc_vectorizer_type;acc_vectorizer_parameters;acc_model;acc_model_parameters;f1_vectorizer_type;f1_vectorizer_parameters;f1_model;f1_model_parameters;avg_char_per_word;avg_class_count;avg_unique_words_per_doc;english_stopword_ratio;max_char_per_word;max_class_count;max_min_length_ratio;max_words_per_doc;min_char_per_word;min_class_count;min_words_per_doc;number_of_classes;number_of_documents;number_of_words;punctuation_token_ratio;special_char_ratio;type_token_relation;vocabulary_size;avg_bigram_freq_per_doc;avg_std_ratio_class_count;avg_trigram_freq_per_doc;avg_words_per_doc;hapax_legomena_ratio;high_frequency_word_ratio;kurtosis_per_doc;long_word_ratio;median_words_per_doc;numeric_token_ratio;rare_word_ratio;skewness_per_doc;std_char_per_word;std_class_count;std_words_per_doc;variance_words_per_doc;class_entropy;corpus_word_entropy;max_class_entropy;mean_info_gain_ratio;mean_mutual_info_words_classes;normalized_class_entropy;words_per_doc_entropy;avg_feature_importance;avg_prediction_time;avg_training_time;avg_tree_depth;coef_stability;embedding_matrix_size;ideal_clusters_for_kmeans;num_tree_leaves;num_tree_nodes;sparsity;svd_top10_singular_ratio;svd_total_explained_ratio;svd_total_explained_variance;svd_total_singular_sum;avg_acc;avg_balanced_acc;avg_f1_macro;avg_f1_micro;avg_f1_weighted;cluster_label_agreement;davies_bouldin_score_embeddings;linear_vs_nonlinear_gap_acc;linear_vs_nonlinear_gap_balanced_acc;linear_vs_nonlinear_gap_f1_macro;linear_vs_nonlinear_gap_f1_micro;linear_vs_nonlinear_gap_f1_weighted;robustness_to_noise_acc_linear;robustness_to_noise_balanced_acc_linear;robustness_to_noise_f1_macro_linear;robustness_to_noise_f1_micro_linear;robustness_to_noise_f1_weighted_linear;silhouette_score_embeddings;automated_readability_index;coleman_liau_index;dale_chall_readability_score;difficult_words;flesch_kincaid_grade;flesch_reading_ease;gunning_fog;linsear_write_formula;school_grade;smog_index
tf-idf;{'analyzer': 'word', 'binary': False, 'decode_error': 'strict', 'dtype': <class 'numpy.float64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l1', 'preprocessor': None, 'smooth_idf': True, 'stop_words': None, 'strip_accents': None, 'sublinear_tf': False, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'use_idf': True, 'vocabulary': None};nb;OrderedDict([('alpha', 0.001443617026655253), ('fit_prior', True)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};lr;OrderedDict([('C', 6.6360850776123375), ('max_iter', 731)]);5.4701417004048585;70.33333333333333;9.298578199052132;0.2048831964429957;24.0;84.0;4.8;24.0;5.0;62.0;5.0;3.0;211.0;1976.0;0.0010121457489878543;0.029214514748637198;0.5708502024291497;1128.0;8.364928909952607;5.895326878196037;7.3649289099526065;9.364928909952607;0.7588652482269503;0.0;7.353943783985153;0.32793522267206476;9.0;0.01062753036437247;0.4686234817813765;1.595015738498177;2.292477368066665;11.930353445448855;2.2979291649881404;5.280478447303092;1.5714842948481724;9.500865849026004;1.584962500721156;0.10779839503021191;0.006279440062085676;0.9914961988899731;3.178708430321757;1;3.760655721028646e-06;0.00460513432820638;33.0;0.16215354681558153;112800.0;4.0;76.0;151.0;0.9907298578199052;0.14163963071167324;0.6445217069608383;0.6310991051551499;115.30826337381089;0.49617706237424547;0.46654641654641654;0.4507934456582326;0.49617706237424547;0.4642933022306257;0.010061721506937345;8.511289399072131;-0.08571428571428569;-0.08739778739778736;-0.09454385264298454;-0.08571428571428569;-0.09124664424339163;0.11401743796109998;0.13828763828763818;0.167941303596359;0.09047619047619049;0.17215206691172785;0.005327515517950311;13.558666474327445;13.349645390070918;13.494417741859122;540.0;11.564527739113146;45.00967289719628;14.167686466115578;4.818181818181818;13;13.607724972218978
tf-idf;{'analyzer': 'word', 'binary': False, 'decode_error': 'strict', 'dtype': <class 'numpy.float64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 2), 'norm': 'l1', 'preprocessor': None, 'smooth_idf': True, 'stop_words': None, 'strip_accents': None, 'sublinear_tf': False, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'use_idf': True, 'vocabulary': None};lr;OrderedDict([('C', 10.0), ('max_iter', 100)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};nb;OrderedDict([('alpha', 0.001346188352417504), ('fit_prior', True)]);5.4362427128664095;90.25;22.083102493074794;0.0006652028509826187;146.0;151.0;24.333333333333332;146.0;6.0;33.0;6.0;4.0;361.0;12179.0;0.019541834304951145;0.03114908004751292;0.1993595533295016;2428.0;32.73684210526316;1.5314401516913279;31.736842105263158;33.73684210526316;0.5032948929159803;0.0;7.3989909473247035;0.28425979144428937;27.0;0.0;0.10041875359224896;2.5918568368818153;23.761278121139412;58.93145736079048;23.794257010183504;566.1666666666667;1.755030613315249;9.298516969680874;2.0;0.07476654075019593;0.004912049047773729;0.8775153066576244;4.2496670743565685;1;3.7177403767903647e-06;0.00863337516784668;29.0;0.18563984470844805;242800.0;4.0;112.0;223.0;0.9817562326869806;0.15413612446681713;0.5735430557029768;0.544446946656362;140.9530120647598;0.46809764309764307;0.3057366931973635;0.2744266153137965;0.46809764309764307;0.4128654950079642;0.01391674823319287;9.003332026087017;-0.0444444444444444;-0.027219182246542073;-0.024140783624085227;-0.0444444444444444;-0.03806477158895233;0.07747933884297514;0.034025998701101345;0.060807702881387954;0.10247933884297517;0.048888531277213376;0.004958236855138994;6.946523047610075;9.825776735616781;19.46079959516991;1289.0;5.233036163878161;67.41820482643038;6.09987780372035;2.7058823529411766;6;7.323194350798314
bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 2), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};nb;OrderedDict([('alpha', 0.060163078295899286), ('fit_prior', False)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 2), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};nb;OrderedDict([('alpha', 0.060163078295899286), ('fit_prior', False)]);5.969033302497687;50.0;304.36;0.06086134819504261;1462.0;50.0;29.836734693877553;1462.0;49.0;50.0;49.0;2.0;100.0;43240.0;0.0005550416281221092;0.10737020696804281;0.35911193339500463;15528.0;431.4;0.0;430.4;432.4;0.6931349819680577;0.0;1.2171339801492884;0.43711840888066605;302.5;0.007284921369102683;0.26288159111933396;1.3645895515206627;325.16260547609096;0.0;326.8007146116836;106798.70707070705;1.0;12.037606382491958;1.0;0.03010323189261386;0.013723059198630675;1.0;7.686488530621482;1;5.149841308593751e-06;0.002644141515096029;5.0;0.13718010538366995;1552800.0;7.0;12.0;23.0;0.88443;0.18805264601774946;0.9999999999999998;0.8364169610090741;90.41039048286525;0.7565854624678154;0.7575571895424836;0.7545716788754863;0.7565854624678154;0.7545909587736439;0.00029187493159181293;4.880916765752829;0.05020796197266786;0.04656862745098045;0.04937971164231192;0.05020796197266786;0.049928626800915143;0.14943553178847302;0.18014705882352944;0.14343133382016982;0.07932263814616736;0.15315342374257723;0.017772799241454168;15.233532019381322;16.137164199879365;19.43832169194716;8918.0;10.615615032400871;49.40871392105143;13.083650478466843;11.166666666666666;10;12.467915310106058
bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};nb;OrderedDict([('alpha', 1.023800489659451), ('fit_prior', False)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};nb;OrderedDict([('alpha', 1.0039671855709875), ('fit_prior', False)]);4.232379623168178;166.33333333333334;10.8937875751503;0.38464885940320404;29.0;199.0;29.0;29.0;1.0;134.0;1.0;3.0;499.0;5732.0;0.0045359385903698535;0.043415980495214515;0.3018143754361479;1730.0;10.486973947895791;5.11774683842601;9.507014028056112;11.486973947895791;0.5387283236994219;0.0;-0.3770597206369186;0.15631542219120725;10.0;0.0078506629448709;0.1793440334961619;0.6612057791000155;6.742124527744788;32.50128202599604;6.74889033429199;45.547520744299845;1.566501623347046;9.505271508533385;1.584962500721156;0.08522264316281203;0.003598958362153174;0.9883524831876398;3.1593215983360214;1;3.5206476847330727e-06;0.0065534114837646484;80.0;0.24735523706350349;173000.0;8.0;144.0;287.0;0.9906733466933868;0.15062369399106812;0.5832403464557064;0.5656077567081912;167.03968692252337;0.5082245148257701;0.4795759857119724;0.4686004551007066;0.5082245148257701;0.4823805752699332;0.0009056666240326662;8.895126323759156;0.01602818459466615;0.015555280356275403;0.010407656902452656;0.01602818459466615;0.011803996204720446;0.06804463362431756;0.046682173547845096;0.062400513450408646;0.06590433590650019;0.07088982258735871;0.010419302505428739;4.6628594351004296;5.286861570975699;8.340906170331278;496.0;4.745955100135319;82.97384251657462;6.546969962079159;10.6;4;7.896120167759568
bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};nb;OrderedDict([('alpha', 10.0), ('fit_prior', True)]);tf-idf;{'analyzer': 'word', 'binary': False, 'decode_error': 'strict', 'dtype': <class 'numpy.float64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l1', 'preprocessor': None, 'smooth_idf': True, 'stop_words': None, 'strip_accents': None, 'sublinear_tf': False, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'use_idf': True, 'vocabulary': None};nb;OrderedDict([('alpha', 0.015292435120835123), ('fit_prior', False)]);4.433861040713557;64.28571428571429;93.2;0.4429312356648522;298.0;143.0;24.833333333333332;298.0;12.0;12.0;12.0;7.0;450.0;60766.0;0.0027811605173945955;0.03358620770893339;0.2334200046078399;14184.0;134.03555555555556;1.242891602340113;133.03555555555556;135.03555555555556;0.6841511562323745;7.050197405527355e-05;-0.9950758231186461;0.16306816311753283;118.0;0.0001810222821972814;0.17573972287134254;0.2677008910429432;63.118045158982525;51.72270386627226;63.18829342241503;3992.7604256372183;2.41568648602379;10.949152068976364;2.807354922057604;0.04369675323621307;0.008532874842384096;0.8604848881213968;6.195959523144957;1;4.356702168782552e-06;0.021556854248046875;30.0;0.16862496054779663;1418400.0;2.0;145.0;289.0;0.9419755555555556;0.20394724143807555;0.5646437254993211;0.4754522712171412;147.26180627981415;0.3185185185185185;0.16348938409346056;0.12734096390974434;0.3185185185185185;0.24371218077120196;0.015392692563520865;5.577564918301909;0.02444444444444449;0.011810513418628182;0.01347131294604055;0.02444444444444449;0.027962506607541404;-0.017777777777777837;0.006240455938271716;0.011004817093002842;-0.011111111111111183;0.0034112445779179434;0.013087625782013753;11.93102053885896;7.715003055780379;8.943506869875801;5975.0;9.3471518470317;72.49581877038138;11.764621643923377;12.0;11;9.572238966717642
tf-idf;{'analyzer': 'word', 'binary': False, 'decode_error': 'strict', 'dtype': <class 'numpy.float64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l1', 'preprocessor': None, 'smooth_idf': True, 'stop_words': None, 'strip_accents': None, 'sublinear_tf': False, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'use_idf': True, 'vocabulary': None};nb;OrderedDict([('alpha', 0.05474944244460215), ('fit_prior', False)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};lr;OrderedDict([('C', 5.149018040544228), ('max_iter', 994)]);6.711505039972193;90.1875;15.247401247401248;0.05683748373650541;79.0;238.0;39.5;79.0;2.0;31.0;2.0;16.0;1443.0;23016.0;0.0;0.1055964046565312;0.21293882516510254;4901.0;14.95010395010395;1.6542469100390076;13.95010395010395;15.95010395010395;0.5643746174250153;0.00020403999183840033;12.069270402445412;0.48870351060132083;14.0;0.0016075773375043448;0.13208202989224888;2.436899442938975;6.6944194073829575;54.51876588233939;6.6967402323469;44.846329739533616;3.7826222825132083;10.248696188640386;4.0;0.1850970389033768;0.011829666447090624;0.9456555706283021;3.8344530902349807;1;4.016558329264323e-06;0.06397199630737305;104.0;0.3075754585997227;490100.0;9.0;418.0;835.0;0.9882169092169092;0.16269170808489866;0.4398324637593819;0.4244100234604157;246.4112574586375;0.6061446061446062;0.5251130224184539;0.5609317130054942;0.6061446061446062;0.5919464115322969;0.1382683730427275;5.993347310245676;0.017325017325017233;0.057157244747828906;0.04027783029042864;0.017325017325017233;0.024037109425237846;0.20582120582120583;0.19772959810960383;0.23014009125399404;0.19473319473319478;0.20971323494120647;0.020838705571259664;14.26348742574686;18.71962113312478;19.666127307517648;3536.0;9.917602778109664;38.50043627130219;12.836572352832457;4.75;11;11.113007586810841
bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};nb;OrderedDict([('alpha', 1.7765766649807682), ('fit_prior', True)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};nb;OrderedDict([('alpha', 1.7765766649807682), ('fit_prior', True)]);4.221240160198867;478.5;13.945663531870428;0.35788896876142695;96.0;835.0;96.0;96.0;1.0;122.0;1.0;2.0;957.0;14482.0;0.009460019334346086;0.06131517881671506;0.2942273166689684;4261.0;14.132706374085684;0.9490900274832061;13.138975966562173;15.132706374085684;0.682234217319878;0.0;7.74357125066801;0.15225797541775998;12.0;0.0234774202458224;0.234774202458224;1.9442078471131574;10.683347049019432;504.16713498600836;10.688933113217619;114.2532910988401;0.5504911033789688;10.530959576136805;1.0;0.05056533320447201;0.0028672908362928347;0.5504911033789688;3.5021285034726524;1;3.6128362019856773e-06;0.006073395411173503;16.0;0.3661853813228488;426100.0;8.0;36.0;71.0;0.9896206896551725;0.15460108472313486;0.4787304983730547;0.4620073983943583;209.53595426385368;0.9334726576105887;0.7682799358904345;0.8043891685075716;0.9334726576105887;0.9226080059612697;0.05555443253492453;10.543984409676678;0.056426332288401326;0.22837412996432116;0.228253534797493;0.056426332288401326;0.08049398482599068;0.019853709508881878;0.10800798385681698;0.15813826956599397;0.02507836990595591;0.06179800969630489;0.007889418886797993;3.4352696660670645;4.438578039545643;9.546954624815559;1354.0;3.72246865268043;86.12569315566986;5.6721809020584235;5.111111111111111;3;7.416486536384254
bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};lr;OrderedDict([('C', 2.2364202820542705), ('max_iter', 895)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};lr;OrderedDict([('C', 2.2364202820542705), ('max_iter', 895)]);4.405860756357412;582.6666666666666;22.023455377574372;0.4053196798991006;76.0;1162.0;38.0;76.0;2.0;200.0;2.0;3.0;1748.0;44397.0;0.0;0.02208779527851078;0.1584566524765187;7035.0;24.398741418764303;1.141892598684674;23.398741418764303;25.398741418764303;0.5943141435678749;0.0;-0.9540391715833119;0.16316417775975856;23.0;0.0016217311980539226;0.09417302970921458;0.3225685495686139;13.843004107419487;510.2639839664694;13.846965476539756;191.73845290848385;1.2306417046284666;9.737004809520208;1.584962500721156;0.02202183368187146;0.001666687503047235;0.7764484674359967;4.156893889026587;1;3.735224405924479e-06;0.03984920183817545;63.0;0.3669289305764568;703500.0;7.0;200.0;399.0;0.983841533180778;0.17508816182417886;0.4446107730217996;0.4206856812791376;270.2132857688998;0.7835654083465794;0.5701847341336831;0.583023048299824;0.7835654083465794;0.7457254807220197;0.0943138019494934;8.232941774771563;0.0188748013101252;0.03677891200624095;0.034348588485286435;0.0188748013101252;0.02353038223837567;0.08982452417581765;0.12392676035988848;0.14897507990602726;0.08067447476122835;0.10943928455224405;0.008929091295210405;2192.5716041624437;9.461101105665108;226.50167054599342;3888.0;1712.3006639689959;-4368.459887438732;1757.9101561609486;60.0;59;119.26798130596057
tf-idf;{'analyzer': 'word', 'binary': False, 'decode_error': 'strict', 'dtype': <class 'numpy.float64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l1', 'preprocessor': None, 'smooth_idf': True, 'stop_words': None, 'strip_accents': None, 'sublinear_tf': False, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'use_idf': True, 'vocabulary': None};nb;OrderedDict([('alpha', 0.012984555242723614), ('fit_prior', False)]);tf-idf;{'analyzer': 'word', 'binary': False, 'decode_error': 'strict', 'dtype': <class 'numpy.float64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l1', 'preprocessor': None, 'smooth_idf': True, 'stop_words': None, 'strip_accents': None, 'sublinear_tf': False, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'use_idf': True, 'vocabulary': None};nb;OrderedDict([('alpha', 0.009838473192472483), ('fit_prior', False)]);4.5593018690588085;112.4;164.56049822064057;0.44444567885217856;2311.0;185.0;2311.0;2311.0;1.0;55.0;1.0;5.0;562.0;160414.0;0.002830176917226676;0.03833552189716672;0.13178400887703068;21140.0;279.1766666666667;2.082445800032857;283.43594306049823;285.43416370106763;0.6413434247871334;0.0;7.759219625092447;0.1922525465358385;182.0;0.002886281745982271;0.09398805590534492;2.3729850646527537;331.6009319195641;53.974994210282226;331.8963448350953;110155.18371489651;2.190094321463695;10.623877684797788;2.321928094887362;0.019352488190499013;0.00594409703226459;0.9432222842240674;6.267038661578591;1;5.084673563639322e-06;0.02968573570251465;36.0;0.2163465040493482;2114000.0;2.0;159.0;317.0;0.8981992882562277;0.2057080687357881;0.596130370982211;0.46451082425917056;161.55594066482803;0.3433900962061162;0.2452510790929322;0.2090360973780888;0.3433900962061162;0.27792412506330716;0.01107082405619499;6.514617774501569;-0.02315394242803498;-0.010023054083596383;-0.010625565403388076;-0.02315394242803498;-0.015020834556966511;0.03740471043349636;0.04327831331350224;0.0484022227775851;0.05165547843895779;0.05570044948657166;0.013206217504414395;8.473005701401128;7.854319406967768;8.844278213731767;9601.0;7.788796674220389;69.24563734534965;10.007982849584668;7.857142857142858;7;10.352026737170293
bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 10, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};lr;OrderedDict([('C', 0.18683682276570143), ('max_iter', 100)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 10, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};lr;OrderedDict([('C', 0.41159551363121133), ('max_iter', 100)]);4.117128620017488;7577.571428571428;67.17642290217371;0.4743751672707184;6300.0;16351.0;6300.0;6300.0;1.0;1201.0;1.0;7.0;52681.0;5961677.0;0.0014668691376604267;0.02987046292340644;0.023309884114822054;138966.0;111.39328469355051;1.1782863653036235;110.40521840770695;112.39328469355051;0.6056517421527567;7.196004778147172e-06;119.00174302532248;0.15341773799553382;61.0;0.0038663617636446926;0.01585308965916805;6.239220948528004;163.4351435443244;6431.010025834274;163.43668415717121;26711.549728290942;2.3516554093961557;9.997243004405474;2.807354922057604;0.04641612470388539;0.013255531210951904;0.8376765584283689;4.957957039134039;1;4.2072931925455725e-06;8.908198595046997;435.0;0.9844089998388025;13896600.0;2.0;8628.0;17255.0;0.9509927040325773;0.20500290243255057;0.4090844443735546;0.3542022237554463;1340.4956091948595;0.5972261498532636;0.4955006617262712;0.501636322385143;0.5972261498532636;0.5877926331972767;0.21750314974407162;5.998819986719865;-0.025356786003808196;-0.06926420798950506;-0.040084275384142165;-0.025356786003808196;-0.029957407289102345;0.13093150839884615;0.17283155150605428;0.17293479739195933;0.13000772957788953;0.1415449511678314;0.0013452534214254044;7.363164375232593;5.856344670515764;7.723879137779454;62916.0;7.726469293421296;73.15778546915391;9.934745054045345;6.571428571428571;6;9.986235376574879
tf-idf;{'analyzer': 'word', 'binary': False, 'decode_error': 'strict', 'dtype': <class 'numpy.float64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'norm': 'l1', 'preprocessor': None, 'smooth_idf': True, 'stop_words': None, 'strip_accents': None, 'sublinear_tf': False, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'use_idf': True, 'vocabulary': None};nb;OrderedDict([('alpha', 2.2364202820542705), ('fit_prior', False)]);bow;{'analyzer': 'word', 'binary': True, 'decode_error': 'strict', 'dtype': <class 'numpy.int64'>, 'encoding': 'utf-8', 'input': 'content', 'lowercase': True, 'max_df': 0.8, 'max_features': 5000, 'min_df': 1, 'ngram_range': (1, 3), 'preprocessor': None, 'stop_words': None, 'strip_accents': None, 'token_pattern': '(?u)\\b\\w\\w+\\b', 'tokenizer': None, 'vocabulary': None};lr;OrderedDict([('C', 6.6360850776123375), ('max_iter', 731)]);4.874005305039788;53.75;10.367441860465116;0.5243823664395701;22.0;75.0;5.5;22.0;4.0;40.0;4.0;4.0;215.0;2262.0;0.0;0.021079226641203028;0.26657824933687;603.0;9.52093023255814;3.6000389405993616;8.52093023255814;10.52093023255814;0.6053067993366501;0.001658374792703151;0.36056773865913216;0.27939876215738285;10.0;0.0;0.16136162687886826;0.49860805835165006;3.060366153768615;14.930394055974098;3.0675082081812417;9.409606607259292;1.9601735725654694;7.635916910953182;2.0;0.13806264012457622;0.011981761043509327;0.9800867862827347;3.3088920766528362;0.001968503937007874;3.493626912434895e-06;0.0036945343017578125;19.0;0.23462115688427607;60300.0;9.0;57.0;113.0;0.9805347006042849;0.17391860251032334;0.774863928793403;0.7297606998192705;123.6194762855805;0.4792862110937229;0.4197500987574517;0.39928994015308333;0.4792862110937229;0.43407663810408975;0.05592845760159064;6.222924172382657;-0.04179707876890992;-0.020978506787330264;-0.006471559693585538;-0.04179707876890992;-0.007106619370861433;0.16268909754825256;0.09493078000430938;0.134349519677882;0.08835419926969229;0.1418191321071101;0.01213997076576474;6.553231653404065;8.840318302387264;8.616657269672857;266.0;7.06369124668435;62.32556162687891;9.078804597701149;4.333333333333333;8;10.514050679140201
